Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Czech Republic,"Air transport, passengers carried",4869586,4974879,5048360,5145187,4902816,3594882,5186676,5009995,3378028,4048658,5450671,5727200
Denmark,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Djibouti,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Dominica,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,"Air transport, passengers carried",..,..,..,19167,28232.1,28442.05,20004,16128,14463,11903,..,..
Ecuador,"Air transport, passengers carried",2630759,2926821,2896528,4818305,4714115,4758406.307,5157521,5675088,5677816,5099726,5121235,5365261
"Egypt, Arab Rep.","Air transport, passengers carried",5829044,6688999,6215870,9518106.013,7708160.107,9081175.146,10593780.18,10278013.11,11109554,11844962,11748510,12340832
El Salvador,"Air transport, passengers carried",2536820,2279763,1996982,1816391.104,2151274,2523296,2509003,2816524,2597649,2603129,2670560,2545105
Equatorial Guinea,"Air transport, passengers carried",..,..,..,25969.38236,130197.6,316620.85,401712,303024,400758,458222,496322,466435.1193
Eritrea,"Air transport, passengers carried",..,..,..,..,..,..,..,..,53074,66927,102729,102729
Estonia,"Air transport, passengers carried",651323,685582,395532,582320.2028,614933,914519,627588,602880,512389,372274,13103,31981
Eswatini,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,"Air transport, passengers carried",2290179,2715017,2914056,3347022,4440917.691,5001121.865,5671501,6274582,7074779,8242114,9566378,11501244
Faroe Islands,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Fiji,"Air transport, passengers carried",960546,946138,1146591,1259009,1276205.48,1225268.562,1161936,1243824,1336976,1402765,1557876,1670216
Finland,"Air transport, passengers carried",8288683,7916485,7423265,8685772.868,9508050,10731828.49,10467321,10992792,13035848,13754228,12209646,13364839
France,"Air transport, passengers carried",61551258,61214656,58318312,60864422.11,64185339.34,64683769.02,63925151,63434263,65039503,65362743,68316473,70188028
French Polynesia,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
Gabon,"Air transport, passengers carried",535324,545640,524867,243635.529,121233.3957,42729.31947,0,..,137331,77320,..,..
"Gambia, The","Air transport, passengers carried",..,..,..,0,0,11284,146784,151776,3036,44330,53735,53735
Georgia,"Air transport, passengers carried",304139,310222,294400,164446,222630,178363,189316,196589,232263,220448,341751,516034
Germany,"Air transport, passengers carried",106101747,107941584,103396735,97330734.28,107042775.8,105978474.5,109062321.5,112353098.6,117222850,116713587,114160685,109796202.2
Ghana,"Air transport, passengers carried",..,..,..,169030.9496,491583.0344,691271.9614,396372,407544,390457,359516,681691,467438
Gibraltar,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
