Country,Indicator,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific,"Air transport, passengers carried",523755806,535907588,555699740,726070353.1,769209920.7,809282604.5,893899315.8,965572758.2,1052102292,1155866926,1266613885,1363172026
East Asia & Pacific (excluding high income),"Air transport, passengers carried",277768225,287719256,326293542,430864598.6,482521208.8,526101395.4,579867089.8,640242859.1,708798867,790494215,881698293,963769251.9
East Asia & Pacific (IDA & IBRD countries),"Air transport, passengers carried",277657591,287610282,326402729,430771969.4,482426892.5,525964519.9,579440333.8,640110151.3,708750644,790446548,881640190,963711148.9
Euro area,"Air transport, passengers carried",407969143,408980682,401882488,414887775.1,439335562.7,437876149.5,441085469.3,458429866,495116034,527688666,558725887,582604112.9
Europe & Central Asia,"Air transport, passengers carried",607952555,623643998,615350087,671844987.3,728739259.9,749916268.9,778805759.9,823125948.6,886634821,941730493,1015616107,1082810024
Europe & Central Asia (excluding high income),"Air transport, passengers carried",69092668,78070042,79638721,106051571,123846313.5,143043780.4,161627137.8,179004742,197093753,203669893,227956251,247482750.7
Europe & Central Asia (IDA & IBRD countries),"Air transport, passengers carried",77911513,87710738,88865012,115461132,133766768.6,153418991.8,171433958.6,188867281.8,206959900,214729427,241813816,263762100.7
European Union,"Air transport, passengers carried",425646377,427781328,419908189,442721426.2,468821255.3,465108860,471018726.1,490844607.8,529467494,565289154,605233486,636860155.9
Fragile and conflict affected situations,"Air transport, passengers carried",..,..,..,26324517.05,29993209.62,28792391.65,29629496.6,31022121.27,28722433,27228652,26440468.05,27447269.66
Heavily indebted poor countries (HIPC),"Air transport, passengers carried",..,..,..,14165092.23,17296028.46,18073364.03,18079383.82,19361000.32,20661772,20915140,23844385.43,25863719.23
High income,"Air transport, passengers carried",1631365964,1600711002,1592784303,1763911953,1820587993,1848528118,1912871376,1991083460,2111401823,2232699612,2340934009,2448980789
IBRD only,"Air transport, passengers carried",571342851,602329034,654666498,850497494.1,948977935.3,1030743896,1123867191,1223688739,1342229140,1461070125,1619971597,1768883236
IDA & IBRD total,"Air transport, passengers carried",599627079,631333677,683927328,891956142.2,997808123.8,1080347427,1174597729,1276673084,1396421827,1517531639,1680834868,1837086756
IDA blend,"Air transport, passengers carried",14980619,15375119,14965530,20774321.43,23867830.73,24663522.39,24098238.09,24165927.34,24997482,25950100,24353773,27699150.41
IDA only,"Air transport, passengers carried",13303609,13629524,..,20684326.65,24962357.72,24940008.35,26632300.3,28818417.64,29195205,30511414,36509497.63,40504369.51
IDA total,"Air transport, passengers carried",28284228,29004643,29260830,41458648.08,48830188.45,49603530.74,50730538.39,52984344.99,54192687,56461514,60863270.63,68203519.92
Late-demographic dividend,"Air transport, passengers carried",444476143,485748645,572829124,685670532.1,761255355.4,830069110.5,907272787.7,985686600.9,1088963002,1190947049,1323673354,1433612745
Latin America & Caribbean,"Air transport, passengers carried",120106257,133677728,140453020,178418790.8,198178802.3,217297987.7,234290843.1,248819233,264217989,266690030,275641368.4,292832219.5
Latin America & Caribbean (excluding high income),"Air transport, passengers carried",106863544,119276132,122703047,159261131.4,175743253.7,191903827.2,204167296.1,217718911.8,232460285,232463569,241682572.4,255798984.1
Latin America & the Caribbean (IDA & IBRD countries),"Air transport, passengers carried",118159408,131727500,138693494,175872865,195644076.8,214936094,232318775.1,246692569.6,262023503,264419476,273553611.4,290800068.9
Least developed countries: UN classification,"Air transport, passengers carried",11015971,11256036,11769610,18083757.29,21798105.78,22619178.96,25019675.15,25990551.47,25697166,27094160,32834897.63,37807273.66
Low & middle income,"Air transport, passengers carried",577770532,607507735,656944243,864349304.8,966365836.9,1045526854,1135403697,1236207927,1355076662,1472402285,1632856454,1783663932
Low income,"Air transport, passengers carried",..,..,..,12378535.55,15015240.92,14387583.41,15498405.16,15783515.49,13902144,14791808,16499896.08,18441745.45
Lower middle income,"Air transport, passengers carried",113126808,117471033,123851532,164165639.1,186498314.3,192296602.8,199257183.3,221717637.3,249599748,285532657,315609022.9,355942959
Middle East & North Africa,"Air transport, passengers carried",71222974,71070884,114274202,151073013.6,160271708.8,175337423.6,188897689.1,204902736.9,217000211,239193056,257942310.8,263132444
Middle East & North Africa (excluding high income),"Air transport, passengers carried",36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,66517430.01
Middle East & North Africa (IDA & IBRD countries),"Air transport, passengers carried",36205520,35864926,38021520,52770471.77,52290259.43,50973534.93,53720922.15,54370978.91,50614910,55760221,66657459.79,66517430.01
Middle income,"Air transport, passengers carried",570453390,599614214,648852968,851970769.2,951350596,1031139271,1119905292,1220424411,1341174518,1457610477,1616356558,1765222187
North America,"Air transport, passengers carried",796405857,755498308,732006924,783774409.4,796874012,807166400.8,814697725.9,838238607,878450302,909445425,940807001,978402000
Not classified,"Air transport, passengers carried",..,..,..,..,..,..,..,..,..,..,..,..
OECD members,"Air transport, passengers carried",1593647367,1560664590,1515845154,1671375732,1719685936,1762938477,1827233578,1900416739,2022695003,2133192567,2242138684,2354578269
Other small states,"Air transport, passengers carried",..,..,..,29535977.74,31467772.9,34532854.87,34877522,..,43818107,51705282,..,..
Pacific island small states,"Air transport, passengers carried",1510124,1487471,1861811,1679808.521,1691669.508,1701510.525,1807896,2006028,2120856,2238966,2543172,2746732
Post-demographic dividend,"Air transport, passengers carried",1510562083,1469546762,1409097909,1535018341,1572981002,1599345143,1647552396,1703839062,1789921540,1872020604,1948532976,2033111003
Pre-demographic dividend,"Air transport, passengers carried",..,..,..,17819048.66,20387700.77,20515501.68,19925850.82,19349770.9,21230480,20633300,21624757.05,26424490.55
Small states,"Air transport, passengers carried",..,..,..,36212017.26,38988883.58,42154410.3,42160917.6,47106779.95,51784766,59930507,60503751,61652480.53
South Asia,"Air transport, passengers carried",62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189225467.4
South Asia (IDA & IBRD),"Air transport, passengers carried",62460543,60323625,64195666,78888194.89,91031850.07,89645445.18,93893397.49,102251106.6,120221878,142492664,162908959.6,189225467.4
Sub-Saharan Africa,"Air transport, passengers carried",27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,63070540.21
Sub-Saharan Africa (excluding high income),"Air transport, passengers carried",25380032,26253754,26091747,36513337.14,40932951.4,43858870.8,42127853.82,42619328.12,45886969,47521723,51952918.08,60870048.21
Sub-Saharan Africa (IDA & IBRD countries),"Air transport, passengers carried",27232504,28096606,27748907,38191509.14,42648276.4,45408840.8,43790341.82,44380996.12,47850992,49683303,54260831.08,63070540.21
Upper middle income,"Air transport, passengers carried",457326582,482143181,525001436,687805130.1,764852281.7,838842667.7,920648108.8,998706773.8,1091574770,1172077820,1300747535,1409279228
World,"Air transport, passengers carried",2209136496,2208218737,2249728546,2628261258,2786953830,2894054972,3048275073,3227291386,3466478485,3705101897,3973790463,4232644721
